GEOID,name,parent-location,year,population,poverty-rate,pct-renter-occupied,median-gross-rent,median-household-income,median-property-value,rent-burden,pct-white,pct-af-am,pct-hispanic,pct-am-ind,pct-asian,pct-nh-pi,pct-multiple,pct-other,undefined,evictions,eviction-filings,eviction-rate,eviction-filing-rate,evictions-per-day
1304000,Atlanta,Georgia,2000,416474,24.4,56.3,606,34770,130600,27.1,31.27,61,4.49,0.14,1.91,0.03,1,0.15,1,280,967,0.3,1.02,0.77
1304000,Atlanta,Georgia,2001,416474,24.4,56.3,606,34770,130600,27.1,31.27,61,4.49,0.14,1.91,0.03,1,0.15,0,495,25239,0.52,26.49,1.36
1304000,Atlanta,Georgia,2002,416474,24.4,56.3,606,34770,130600,27.1,31.27,61,4.49,0.14,1.91,0.03,1,0.15,0,644,24519,0.67,25.53,1.76
1304000,Atlanta,Georgia,2003,416474,24.4,56.3,606,34770,130600,27.1,31.27,61,4.49,0.14,1.91,0.03,1,0.15,0,360,24335,0.37,25.12,0.99
1304000,Atlanta,Georgia,2004,416474,24.4,56.3,606,34770,130600,27.1,31.27,61,4.49,0.14,1.91,0.03,1,0.15,0,386,21591,0.4,22.11,1.05
1304000,Atlanta,Georgia,2005,515843,17.5,48.65,881,50243,248400,30.4,40.84,49.69,5.32,0.17,2.69,0.01,1.05,0.22,0,486,23855,0.49,24.22,1.33
1304000,Atlanta,Georgia,2006,515843,17.5,48.65,881,50243,248400,30.4,40.84,49.69,5.32,0.17,2.69,0.01,1.05,0.22,0,2955,24065,2.98,24.25,8.1
1304000,Atlanta,Georgia,2007,515843,17.5,48.65,881,50243,248400,30.4,40.84,49.69,5.32,0.17,2.69,0.01,1.05,0.22,1,3469,22047,3.47,22.04,9.5
1304000,Atlanta,Georgia,2008,515843,17.5,48.65,881,50243,248400,30.4,40.84,49.69,5.32,0.17,2.69,0.01,1.05,0.22,0,5100,23192,5.06,23,13.93
1304000,Atlanta,Georgia,2009,515843,17.5,48.65,881,50243,248400,30.4,40.84,49.69,5.32,0.17,2.69,0.01,1.05,0.22,1,6751,19813,6.64,19.5,18.5
1304000,Atlanta,Georgia,2010,420003,19.94,55.09,931,46146,219900,32,36.28,53.41,5.19,0.18,3.12,0.03,1.62,0.18,1,8317,22751,8.12,22.22,22.79
1304000,Atlanta,Georgia,2011,448901,19.3,56.42,975,47527,209200,31.2,36.83,52.42,5.01,0.14,3.89,0.03,1.55,0.13,0,9030,23797,8.56,22.55,24.74
1304000,Atlanta,Georgia,2012,448901,19.3,56.42,975,47527,209200,31.2,36.83,52.42,5.01,0.14,3.89,0.03,1.55,0.13,1,7579,20744,6.98,19.1,20.71
1304000,Atlanta,Georgia,2013,448901,19.3,56.42,975,47527,209200,31.2,36.83,52.42,5.01,0.14,3.89,0.03,1.55,0.13,1,2194,13974,1.96,12.5,6.01
1304000,Atlanta,Georgia,2014,448901,19.3,56.42,975,47527,209200,31.2,36.83,52.42,5.01,0.14,3.89,0.03,1.55,0.13,0,2668,23603,2.32,20.55,7.31
1304000,Atlanta,Georgia,2015,448901,19.3,56.42,975,47527,209200,31.2,36.83,52.42,5.01,0.14,3.89,0.03,1.55,0.13,0,5828,22225,4.94,18.84,15.97
1304000,Atlanta,Georgia,2016,448901,19.3,56.42,975,47527,209200,31.2,36.83,52.42,5.01,0.14,3.89,0.03,1.55,0.13,0,6201,21331,5.12,17.62,16.94
0644000,Los Angeles,California,2000,3694820,22.11,61.43,672,36687,221600,29.1,29.75,10.88,46.53,0.24,9.87,0.12,2.36,0.25,0,22241,23215,2.84,2.96,60.77
0644000,Los Angeles,California,2001,3694820,22.11,61.43,672,36687,221600,29.1,29.75,10.88,46.53,0.24,9.87,0.12,2.36,0.25,0,22249,25301,2.83,3.22,60.96
0644000,Los Angeles,California,2002,3694820,22.11,61.43,672,36687,221600,29.1,29.75,10.88,46.53,0.24,9.87,0.12,2.36,0.25,1,20414,27791,2.59,3.52,55.93
0644000,Los Angeles,California,2003,3694820,22.11,61.43,672,36687,221600,29.1,29.75,10.88,46.53,0.24,9.87,0.12,2.36,0.25,1,18666,28491,2.35,3.59,51.14
0644000,Los Angeles,California,2004,3694820,22.11,61.43,672,36687,221600,29.1,29.75,10.88,46.53,0.24,9.87,0.12,2.36,0.25,1,16100,18473,2.02,2.32,43.99
0644000,Los Angeles,California,2005,3796840,15.82,60.58,1029,48570,565200,34,29.29,9.49,48.49,0.19,10.52,0.18,1.42,0.43,1,13235,14149,1.66,1.77,36.26
0644000,Los Angeles,California,2006,3796840,15.82,60.58,1029,48570,565200,34,29.29,9.49,48.49,0.19,10.52,0.18,1.42,0.43,1,11423,12383,1.42,1.54,31.3
0644000,Los Angeles,California,2007,3796840,15.82,60.58,1029,48570,565200,34,29.29,9.49,48.49,0.19,10.52,0.18,1.42,0.43,1,10982,12416,1.36,1.54,30.09
0644000,Los Angeles,California,2008,3796840,15.82,60.58,1029,48570,565200,34,29.29,9.49,48.49,0.19,10.52,0.18,1.42,0.43,1,11657,14928,1.44,1.85,31.85
0644000,Los Angeles,California,2009,3796840,15.82,60.58,1029,48570,565200,34,29.29,9.49,48.49,0.19,10.52,0.18,1.42,0.43,1,12755,16050,1.57,1.98,34.95
0644000,Los Angeles,California,2010,3792621,17.23,61.78,1156,49745,470000,35.8,28.66,9.16,48.48,0.17,11.08,0.11,2.01,0.32,1,12201,15607,1.5,1.92,33.43
0644000,Los Angeles,California,2011,3900794,17.77,63.16,1209,50205,471000,36.5,28.39,8.75,48.67,0.16,11.43,0.16,2.12,0.32,1,10885,13471,1.32,1.64,29.82
0644000,Los Angeles,California,2012,3900794,17.77,63.16,1209,50205,471000,36.5,28.39,8.75,48.67,0.16,11.43,0.16,2.12,0.32,1,10569,12606,1.27,1.52,28.88
0644000,Los Angeles,California,2013,3900794,17.77,63.16,1209,50205,471000,36.5,28.39,8.75,48.67,0.16,11.43,0.16,2.12,0.32,1,10430,11265,1.24,1.34,28.58
0644000,Los Angeles,California,2014,3900794,17.77,63.16,1209,50205,471000,36.5,28.39,8.75,48.67,0.16,11.43,0.16,2.12,0.32,1,10399,10975,1.23,1.3,28.49
0644000,Los Angeles,California,2015,3900794,17.77,63.16,1209,50205,471000,36.5,28.39,8.75,48.67,0.16,11.43,0.16,2.12,0.32,1,5079,5571,0.6,0.65,13.92
0644000,Los Angeles,California,2016,3900794,17.77,63.16,1209,50205,471000,36.5,28.39,8.75,48.67,0.16,11.43,0.16,2.12,0.32,1,3255,3355,0.38,0.39,8.89
3651000,New York,New York,2000,8008278,21.25,69.81,705,38293,211900,26.6,34.98,24.5,26.98,0.22,9.74,0.04,2.81,0.73,0,47228,323936,2.24,15.36,129.04
3651000,New York,New York,2001,8008278,21.25,69.81,705,38293,211900,26.6,34.98,24.5,26.98,0.22,9.74,0.04,2.81,0.73,0,44572,314746,2.11,14.9,122.12
3651000,New York,New York,2002,8008278,21.25,69.81,705,38293,211900,26.6,34.98,24.5,26.98,0.22,9.74,0.04,2.81,0.73,0,44418,365199,2.1,17.26,121.69
3651000,New York,New York,2003,8008278,21.25,69.81,705,38293,211900,26.6,34.98,24.5,26.98,0.22,9.74,0.04,2.81,0.73,0,43909,343827,2.07,16.22,120.3
3651000,New York,New York,2004,8008278,21.25,69.81,705,38293,211900,26.6,34.98,24.5,26.98,0.22,9.74,0.04,2.81,0.73,0,43590,294258,2.05,13.86,119.1
3651000,New York,New York,2005,8302659,15.7,66.12,1029,50173,501000,30.3,35.47,23.34,27.38,0.2,11.57,0.02,1.12,0.9,0,47740,292631,2.24,13.74,130.79
3651000,New York,New York,2006,8302659,15.7,66.12,1029,50173,501000,30.3,35.47,23.34,27.38,0.2,11.57,0.02,1.12,0.9,0,65311,285260,3.06,13.38,178.93
3651000,New York,New York,2007,8302659,15.7,66.12,1029,50173,501000,30.3,35.47,23.34,27.38,0.2,11.57,0.02,1.12,0.9,1,13716,50154,0.64,2.35,37.58
3651000,New York,New York,2008,8302659,15.7,66.12,1029,50173,501000,30.3,35.47,23.34,27.38,0.2,11.57,0.02,1.12,0.9,1,18993,51108,0.89,2.39,51.89
3651000,New York,New York,2009,8302659,15.7,66.12,1029,50173,501000,30.3,35.47,23.34,27.38,0.2,11.57,0.02,1.12,0.9,1,13357,52111,0.62,2.43,36.59
3651000,New York,New York,2010,8175133,16.88,69.04,1167,51865,501500,31.6,33.31,22.77,28.58,0.21,12.58,0.03,1.82,0.71,1,12209,53902,0.57,2.51,33.45
3651000,New York,New York,2011,8426743,17.46,68.16,1255,53373,494800,32.2,32.51,22.37,28.92,0.18,13.42,0.03,1.71,0.85,1,622,45262,0.03,2.09,1.7
3651000,New York,New York,2012,8426743,17.46,68.16,1255,53373,494800,32.2,32.51,22.37,28.92,0.18,13.42,0.03,1.71,0.85,1,5191,36131,0.24,1.65,14.18
3651000,New York,New York,2013,8426743,17.46,68.16,1255,53373,494800,32.2,32.51,22.37,28.92,0.18,13.42,0.03,1.71,0.85,1,4608,35116,0.21,1.59,12.62
3651000,New York,New York,2014,8426743,17.46,68.16,1255,53373,494800,32.2,32.51,22.37,28.92,0.18,13.42,0.03,1.71,0.85,1,8608,37686,0.39,1.7,23.58
3651000,New York,New York,2015,8426743,17.46,68.16,1255,53373,494800,32.2,32.51,22.37,28.92,0.18,13.42,0.03,1.71,0.85,1,7487,34956,0.33,1.56,20.51
3651000,New York,New York,2016,8426743,17.46,68.16,1255,53373,494800,32.2,32.51,22.37,28.92,0.18,13.42,0.03,1.71,0.85,1,36343,124846,1.61,5.53,99.3
