GEOID,name,parent-location,year,population,poverty-rate,pct-renter-occupied,median-gross-rent,median-household-income,median-property-value,rent-burden,pct-white,pct-af-am,pct-hispanic,pct-am-ind,pct-asian,pct-nh-pi,pct-multiple,pct-other,undefined,evictions,eviction-filings,eviction-rate,eviction-filing-rate,evictions-per-day
0804000,Aurora,Colorado,2000,276393,8.87,36.11,700,46507,144600,26.4,59.19,13.03,19.81,0.55,4.3,0.17,2.77,0.18,1,575,991,1.51,2.61,1.57
0804000,Aurora,Colorado,2001,276393,8.87,36.11,700,46507,144600,26.4,59.19,13.03,19.81,0.55,4.3,0.17,2.77,0.18,1,546,977,1.4,2.5,1.5
0804000,Aurora,Colorado,2002,276393,8.87,36.11,700,46507,144600,26.4,59.19,13.03,19.81,0.55,4.3,0.17,2.77,0.18,1,315,481,0.78,1.2,0.86
0804000,Aurora,Colorado,2003,276393,8.87,36.11,700,46507,144600,26.4,59.19,13.03,19.81,0.55,4.3,0.17,2.77,0.18,1,602,851,1.46,2.06,1.65
0804000,Aurora,Colorado,2004,276393,8.87,36.11,700,46507,144600,26.4,59.19,13.03,19.81,0.55,4.3,0.17,2.77,0.18,1,661,894,1.56,2.11,1.81
0804000,Aurora,Colorado,2005,309091,12.86,36.01,835,49626,191500,32.8,50.53,14.6,27.57,0.67,4,0.21,2.18,0.24,1,731,995,1.68,2.29,2
0804000,Aurora,Colorado,2006,309091,12.86,36.01,835,49626,191500,32.8,50.53,14.6,27.57,0.67,4,0.21,2.18,0.24,1,819,1150,1.84,2.59,2.24
0804000,Aurora,Colorado,2007,309091,12.86,36.01,835,49626,191500,32.8,50.53,14.6,27.57,0.67,4,0.21,2.18,0.24,1,611,905,1.34,1.99,1.67
0804000,Aurora,Colorado,2008,309091,12.86,36.01,835,49626,191500,32.8,50.53,14.6,27.57,0.67,4,0.21,2.18,0.24,1,438,556,0.94,1.2,1.2
0804000,Aurora,Colorado,2009,309091,12.86,36.01,835,49626,191500,32.8,50.53,14.6,27.57,0.67,4,0.21,2.18,0.24,1,427,563,0.9,1.18,1.17
0804000,Aurora,Colorado,2010,325078,12.75,40.09,916,51048,179400,33.4,47.29,15.07,28.69,0.46,4.84,0.28,3.16,0.21,0,4426,6862,9.1,14.1,12.13
0804000,Aurora,Colorado,2011,345867,11.4,43.24,1024,53011,189100,33.1,46.33,15.29,28.81,0.38,5.21,0.27,3.43,0.28,0,4133,6769,8.26,13.53,11.32
0804000,Aurora,Colorado,2012,345867,11.4,43.24,1024,53011,189100,33.1,46.33,15.29,28.81,0.38,5.21,0.27,3.43,0.28,0,3095,6755,6.03,13.16,8.46
0804000,Aurora,Colorado,2013,345867,11.4,43.24,1024,53011,189100,33.1,46.33,15.29,28.81,0.38,5.21,0.27,3.43,0.28,1,1346,3111,2.55,5.9,3.69
0804000,Aurora,Colorado,2014,345867,11.4,43.24,1024,53011,189100,33.1,46.33,15.29,28.81,0.38,5.21,0.27,3.43,0.28,1,1390,2661,2.57,4.93,3.81
0804000,Aurora,Colorado,2015,345867,11.4,43.24,1024,53011,189100,33.1,46.33,15.29,28.81,0.38,5.21,0.27,3.43,0.28,1,1611,3252,2.91,5.87,4.41
0804000,Aurora,Colorado,2016,345867,11.4,43.24,1024,53011,189100,33.1,46.33,15.29,28.81,0.38,5.21,0.27,3.43,0.28,0,3131,6796,5.52,11.99,8.55
