GEOID,name,parent-location,year,population,poverty-rate,pct-renter-occupied,median-gross-rent,median-household-income,median-property-value,rent-burden,pct-white,pct-af-am,pct-hispanic,pct-am-ind,pct-asian,pct-nh-pi,pct-multiple,pct-other,undefined,evictions,eviction-filings,eviction-rate,eviction-filing-rate,evictions-per-day
3918000,Columbus,Ohio,2000,711470,14.81,50.92,586,37897,101400,24.7,66.89,24.28,2.46,0.26,3.43,0.05,2.38,0.26,0,,,,,
3918000,Columbus,Ohio,2001,711470,14.81,50.92,586,37897,101400,24.7,66.89,24.28,2.46,0.26,3.43,0.05,2.38,0.26,1,27,73,0.02,0.05,0.07
3918000,Columbus,Ohio,2002,711470,14.81,50.92,586,37897,101400,24.7,66.89,24.28,2.46,0.26,3.43,0.05,2.38,0.26,0,7030,15103,4.47,9.6,19.26
3918000,Columbus,Ohio,2003,711470,14.81,50.92,586,37897,101400,24.7,66.89,24.28,2.46,0.26,3.43,0.05,2.38,0.26,0,7221,14888,4.53,9.35,19.78
3918000,Columbus,Ohio,2004,711470,14.81,50.92,586,37897,101400,24.7,66.89,24.28,2.46,0.26,3.43,0.05,2.38,0.26,0,8476,16165,5.25,10.02,23.16
3918000,Columbus,Ohio,2005,753572,14.84,49.25,739,43569,138600,29.1,63.32,25.46,4.57,0.16,3.98,0.02,2.24,0.24,0,8712,16699,5.33,10.22,23.87
3918000,Columbus,Ohio,2006,753572,14.84,49.25,739,43569,138600,29.1,63.32,25.46,4.57,0.16,3.98,0.02,2.24,0.24,0,9293,16408,5.62,9.92,25.46
3918000,Columbus,Ohio,2007,753572,14.84,49.25,739,43569,138600,29.1,63.32,25.46,4.57,0.16,3.98,0.02,2.24,0.24,0,9766,16879,5.83,10.08,26.76
3918000,Columbus,Ohio,2008,753572,14.84,49.25,739,43569,138600,29.1,63.32,25.46,4.57,0.16,3.98,0.02,2.24,0.24,0,10024,17439,5.92,10.3,27.39
3918000,Columbus,Ohio,2009,753572,14.84,49.25,739,43569,138600,29.1,63.32,25.46,4.57,0.16,3.98,0.02,2.24,0.24,0,8919,16896,5.2,9.86,24.44
