GEOID,name,parent-location,year,population,poverty-rate,pct-renter-occupied,median-gross-rent,median-household-income,median-property-value,rent-burden,pct-white,pct-af-am,pct-hispanic,pct-am-ind,pct-asian,pct-nh-pi,pct-multiple,pct-other,undefined,evictions,eviction-filings,eviction-rate,eviction-filing-rate,evictions-per-day
4817000,Corpus Christi,Texas,2000,277454,17.55,40.37,555,36414,72100,25.6,38.53,4.47,54.33,0.3,1.22,0.05,1,0.11,1,990,1027,2.48,2.57,2.7
4817000,Corpus Christi,Texas,2001,277454,17.55,40.37,555,36414,72100,25.6,38.53,4.47,54.33,0.3,1.22,0.05,1,0.11,0,1428,1990,3.53,4.91,3.91
4817000,Corpus Christi,Texas,2002,277454,17.55,40.37,555,36414,72100,25.6,38.53,4.47,54.33,0.3,1.22,0.05,1,0.11,0,1405,1962,3.42,4.77,3.85
4817000,Corpus Christi,Texas,2003,277454,17.55,40.37,555,36414,72100,25.6,38.53,4.47,54.33,0.3,1.22,0.05,1,0.11,0,1489,2139,3.57,5.13,4.08
4817000,Corpus Christi,Texas,2004,277454,17.55,40.37,555,36414,72100,25.6,38.53,4.47,54.33,0.3,1.22,0.05,1,0.11,0,1541,1912,3.65,4.52,4.21
4817000,Corpus Christi,Texas,2005,283843,15.32,40.15,774,42694,100200,32.4,35.14,4.26,57.99,0.2,1.42,0,0.88,0.11,0,1644,1799,3.83,4.19,4.5
4817000,Corpus Christi,Texas,2006,283843,15.32,40.15,774,42694,100200,32.4,35.14,4.26,57.99,0.2,1.42,0,0.88,0.11,1,1399,1686,3.22,3.88,3.83
4817000,Corpus Christi,Texas,2007,283843,15.32,40.15,774,42694,100200,32.4,35.14,4.26,57.99,0.2,1.42,0,0.88,0.11,0,1467,2046,3.33,4.64,4.02
4817000,Corpus Christi,Texas,2008,283843,15.32,40.15,774,42694,100200,32.4,35.14,4.26,57.99,0.2,1.42,0,0.88,0.11,0,1464,2033,3.28,4.55,4
4817000,Corpus Christi,Texas,2009,283843,15.32,40.15,774,42694,100200,32.4,35.14,4.26,57.99,0.2,1.42,0,0.88,0.11,0,1440,1989,3.18,4.39,3.95
4817000,Corpus Christi,Texas,2010,305215,14.13,40.75,840,47029,112700,31.4,33.29,3.9,59.69,0.26,1.77,0.07,0.91,0.12,0,1364,1985,2.97,4.33,3.74
4817000,Corpus Christi,Texas,2011,316513,13.41,43.95,893,50658,115400,29.3,31.5,4.04,61.27,0.21,1.86,0.04,0.94,0.14,0,1524,1976,3.24,4.2,4.18
4817000,Corpus Christi,Texas,2012,316513,13.41,43.95,893,50658,115400,29.3,31.5,4.04,61.27,0.21,1.86,0.04,0.94,0.14,1,1943,2095,4.04,4.36,5.31
4817000,Corpus Christi,Texas,2013,316513,13.41,43.95,893,50658,115400,29.3,31.5,4.04,61.27,0.21,1.86,0.04,0.94,0.14,1,2029,2190,4.12,4.44,5.56
4817000,Corpus Christi,Texas,2014,316513,13.41,43.95,893,50658,115400,29.3,31.5,4.04,61.27,0.21,1.86,0.04,0.94,0.14,1,1959,2110,3.89,4.19,5.37
