GEOID,name,parent-location,year,population,poverty-rate,pct-renter-occupied,median-gross-rent,median-household-income,median-property-value,rent-burden,pct-white,pct-af-am,pct-hispanic,pct-am-ind,pct-asian,pct-nh-pi,pct-multiple,pct-other,undefined,evictions,eviction-filings,eviction-rate,eviction-filing-rate,evictions-per-day
4819000,Dallas,Texas,2000,1188580,17.78,56.77,623,37628,89800,24.4,34.56,25.65,35.55,0.31,2.66,0.03,1.13,0.11,0,3416,22969,1.34,8.99,9.33
4819000,Dallas,Texas,2001,1188580,17.78,56.77,623,37628,89800,24.4,34.56,25.65,35.55,0.31,2.66,0.03,1.13,0.11,0,6052,26063,2.37,10.2,16.58
4819000,Dallas,Texas,2002,1188580,17.78,56.77,623,37628,89800,24.4,34.56,25.65,35.55,0.31,2.66,0.03,1.13,0.11,0,10776,33011,4.22,12.92,29.52
4819000,Dallas,Texas,2003,1188580,17.78,56.77,623,37628,89800,24.4,34.56,25.65,35.55,0.31,2.66,0.03,1.13,0.11,0,11410,34494,4.47,13.5,31.26
4819000,Dallas,Texas,2004,1188580,17.78,56.77,623,37628,89800,24.4,34.56,25.65,35.55,0.31,2.66,0.03,1.13,0.11,0,10510,33941,4.11,13.28,28.72
4819000,Dallas,Texas,2005,1269204,18.8,53.92,773,41266,129500,29.5,30.95,22.78,42.35,0.2,2.51,0.05,0.89,0.27,0,10548,32670,4.12,12.77,28.9
4819000,Dallas,Texas,2006,1269204,18.8,53.92,773,41266,129500,29.5,30.95,22.78,42.35,0.2,2.51,0.05,0.89,0.27,0,15779,41804,6.17,16.35,43.23
4819000,Dallas,Texas,2007,1269204,18.8,53.92,773,41266,129500,29.5,30.95,22.78,42.35,0.2,2.51,0.05,0.89,0.27,0,14671,35508,5.74,13.89,40.19
4819000,Dallas,Texas,2008,1269204,18.8,53.92,773,41266,129500,29.5,30.95,22.78,42.35,0.2,2.51,0.05,0.89,0.27,0,13153,35980,5.14,14.07,35.94
4819000,Dallas,Texas,2009,1269204,18.8,53.92,773,41266,129500,29.5,30.95,22.78,42.35,0.2,2.51,0.05,0.89,0.27,0,3305,23972,1.29,9.37,9.05
4819000,Dallas,Texas,2010,1197816,20.13,55.93,822,42436,129300,29.5,28.82,24.56,42.35,0.26,2.81,0.03,1.02,0.15,0,3681,25255,1.44,9.88,10.08
4819000,Dallas,Texas,2011,1260688,20.5,57.7,863,43781,135400,29.2,29.37,24.1,41.72,0.13,3.01,0.03,1.52,0.12,0,3663,27788,1.4,10.66,10.04
4819000,Dallas,Texas,2012,1260688,20.5,57.7,863,43781,135400,29.2,29.37,24.1,41.72,0.13,3.01,0.03,1.52,0.12,0,6842,31784,2.58,11.97,18.69
4819000,Dallas,Texas,2013,1260688,20.5,57.7,863,43781,135400,29.2,29.37,24.1,41.72,0.13,3.01,0.03,1.52,0.12,0,7043,31976,2.6,11.81,19.3
4819000,Dallas,Texas,2014,1260688,20.5,57.7,863,43781,135400,29.2,29.37,24.1,41.72,0.13,3.01,0.03,1.52,0.12,0,7145,31464,2.59,11.42,19.58
4819000,Dallas,Texas,2015,1260688,20.5,57.7,863,43781,135400,29.2,29.37,24.1,41.72,0.13,3.01,0.03,1.52,0.12,0,6666,31072,2.38,11.08,18.26
4819000,Dallas,Texas,2016,1260688,20.5,57.7,863,43781,135400,29.2,29.37,24.1,41.72,0.13,3.01,0.03,1.52,0.12,0,4345,24834,1.52,8.71,11.87
1235000,Jacksonville,Florida,2000,735617,12.18,36.83,598,40316,87800,24.7,62.19,28.72,4.16,0.31,2.74,0.06,1.64,0.18,0,5756,10376,5.49,9.9,15.73
1235000,Jacksonville,Florida,2001,735617,12.18,36.83,598,40316,87800,24.7,62.19,28.72,4.16,0.31,2.74,0.06,1.64,0.18,0,6312,10368,5.92,9.72,17.29
1235000,Jacksonville,Florida,2002,735617,12.18,36.83,598,40316,87800,24.7,62.19,28.72,4.16,0.31,2.74,0.06,1.64,0.18,0,6932,12071,6.39,11.12,18.99
1235000,Jacksonville,Florida,2003,735617,12.18,36.83,598,40316,87800,24.7,62.19,28.72,4.16,0.31,2.74,0.06,1.64,0.18,0,7258,10484,6.57,9.49,19.88
1235000,Jacksonville,Florida,2004,735617,12.18,36.83,598,40316,87800,24.7,62.19,28.72,4.16,0.31,2.74,0.06,1.64,0.18,1,8368,11032,7.45,9.82,22.86
1235000,Jacksonville,Florida,2005,802843,10.2,37.05,849,48514,170600,30.7,58.07,29.92,6.19,0.25,3.6,0.08,1.6,0.29,0,8877,13477,7.76,11.79,24.32
1235000,Jacksonville,Florida,2006,802843,10.2,37.05,849,48514,170600,30.7,58.07,29.92,6.19,0.25,3.6,0.08,1.6,0.29,0,8832,14558,7.6,12.53,24.2
1235000,Jacksonville,Florida,2007,802843,10.2,37.05,849,48514,170600,30.7,58.07,29.92,6.19,0.25,3.6,0.08,1.6,0.29,0,9590,15081,8.12,12.77,26.27
1235000,Jacksonville,Florida,2008,802843,10.2,37.05,849,48514,170600,30.7,58.07,29.92,6.19,0.25,3.6,0.08,1.6,0.29,0,8637,17763,7.2,14.81,23.6
1235000,Jacksonville,Florida,2009,802843,10.2,37.05,849,48514,170600,30.7,58.07,29.92,6.19,0.25,3.6,0.08,1.6,0.29,0,7026,13925,5.77,11.43,19.25
1235000,Jacksonville,Florida,2010,821784,12.48,38.29,920,48143,157200,33.1,55.07,30.12,7.73,0.33,4.23,0.08,2.22,0.24,0,6965,14959,5.63,12.09,19.08
1235000,Jacksonville,Florida,2011,846951,13.72,41.01,935,46764,136400,33.1,53.69,30.15,8.54,0.21,4.41,0.11,2.7,0.19,0,7056,16613,5.53,13.02,19.33
