GEOID,name,parent-location,year,population,poverty-rate,pct-renter-occupied,median-gross-rent,median-household-income,median-property-value,rent-burden,pct-white,pct-af-am,pct-hispanic,pct-am-ind,pct-asian,pct-nh-pi,pct-multiple,pct-other,undefined,evictions,eviction-filings,eviction-rate,eviction-filing-rate,evictions-per-day
0820000,Denver,Colorado,2000,554636,14.29,47.52,631,39500,165800,26.2,51.93,10.8,31.68,0.69,2.73,0.09,1.91,0.18,0,4943,10181,4.35,8.95,13.51
0820000,Denver,Colorado,2001,554636,14.29,47.52,631,39500,165800,26.2,51.93,10.8,31.68,0.69,2.73,0.09,1.91,0.18,0,5433,10833,4.7,9.38,14.88
0820000,Denver,Colorado,2002,554636,14.29,47.52,631,39500,165800,26.2,51.93,10.8,31.68,0.69,2.73,0.09,1.91,0.18,0,5808,10888,4.95,9.28,15.91
0820000,Denver,Colorado,2003,554636,14.29,47.52,631,39500,165800,26.2,51.93,10.8,31.68,0.69,2.73,0.09,1.91,0.18,0,6743,11720,5.66,9.84,18.47
0820000,Denver,Colorado,2004,554636,14.29,47.52,631,39500,165800,26.2,51.93,10.8,31.68,0.69,2.73,0.09,1.91,0.18,0,7468,12607,6.18,10.43,20.4
0820000,Denver,Colorado,2005,582447,13.84,46.19,779,45438,236700,30.2,50.83,9.67,33.79,0.66,3.04,0.06,1.68,0.27,0,7496,12261,6.11,9.99,20.54
0820000,Denver,Colorado,2006,582447,13.84,46.19,779,45438,236700,30.2,50.83,9.67,33.79,0.66,3.04,0.06,1.68,0.27,0,7879,12927,6.33,10.39,21.59
0820000,Denver,Colorado,2007,582447,13.84,46.19,779,45438,236700,30.2,50.83,9.67,33.79,0.66,3.04,0.06,1.68,0.27,0,7479,12636,5.92,10.01,20.49
0820000,Denver,Colorado,2008,582447,13.84,46.19,779,45438,236700,30.2,50.83,9.67,33.79,0.66,3.04,0.06,1.68,0.27,0,7399,12215,5.78,9.54,20.22
0820000,Denver,Colorado,2009,582447,13.84,46.19,779,45438,236700,30.2,50.83,9.67,33.79,0.66,3.04,0.06,1.68,0.27,0,4711,8338,3.63,6.42,12.91
0820000,Denver,Colorado,2010,600158,14.25,50.01,863,49091,246300,30.1,52.15,9.73,31.82,0.59,3.32,0.08,2.11,0.2,0,5551,9380,4.22,7.13,15.21
0820000,Denver,Colorado,2011,649654,12.84,50.59,962,53637,271300,29.5,53.1,9.38,30.94,0.56,3.46,0.1,2.22,0.23,0,4981,8501,3.67,6.27,13.65
