GEOID,name,parent-location,year,population,poverty-rate,pct-renter-occupied,median-gross-rent,median-household-income,median-property-value,rent-burden,pct-white,pct-af-am,pct-hispanic,pct-am-ind,pct-asian,pct-nh-pi,pct-multiple,pct-other,undefined,evictions,eviction-filings,eviction-rate,eviction-filing-rate,evictions-per-day
4835000,Houston,Texas,2000,1953631,19.17,54.21,575,36616,79300,24.1,30.81,24.97,37.41,0.17,5.26,0.03,1.22,0.13,1,6,6,0,0,0.02
4835000,Houston,Texas,2001,1953631,19.17,54.21,575,36616,79300,24.1,30.81,24.97,37.41,0.17,5.26,0.03,1.22,0.13,1,9788,16090,2.47,4.06,26.82
4835000,Houston,Texas,2002,1953631,19.17,54.21,575,36616,79300,24.1,30.81,24.97,37.41,0.17,5.26,0.03,1.22,0.13,1,9668,16507,2.42,4.14,26.49
4835000,Houston,Texas,2003,1953631,19.17,54.21,575,36616,79300,24.1,30.81,24.97,37.41,0.17,5.26,0.03,1.22,0.13,1,10338,18208,2.57,4.53,28.32
4835000,Houston,Texas,2004,1953631,19.17,54.21,575,36616,79300,24.1,30.81,24.97,37.41,0.17,5.26,0.03,1.22,0.13,1,9931,18885,2.45,4.67,27.13
4835000,Houston,Texas,2005,2191400,17.32,52.72,776,42797,124300,29.8,28.73,23.09,41.43,0.15,5.61,0.09,0.69,0.21,1,10511,19118,2.58,4.68,28.8
4835000,Houston,Texas,2006,2191400,17.32,52.72,776,42797,124300,29.8,28.73,23.09,41.43,0.15,5.61,0.09,0.69,0.21,1,11912,19669,2.9,4.79,32.64
4835000,Houston,Texas,2007,2191400,17.32,52.72,776,42797,124300,29.8,28.73,23.09,41.43,0.15,5.61,0.09,0.69,0.21,1,11902,18918,2.88,4.57,32.61
4835000,Houston,Texas,2008,2191400,17.32,52.72,776,42797,124300,29.8,28.73,23.09,41.43,0.15,5.61,0.09,0.69,0.21,1,9741,17966,2.34,4.31,26.61
4835000,Houston,Texas,2009,2191400,17.32,52.72,776,42797,124300,29.8,28.73,23.09,41.43,0.15,5.61,0.09,0.69,0.21,0,16683,32035,3.97,7.63,45.71
4835000,Houston,Texas,2010,2099451,18.76,54.61,837,44648,124700,29.9,25.62,23.15,43.81,0.17,5.95,0.03,1.08,0.2,0,18122,36221,4.29,8.57,49.65
4835000,Houston,Texas,2011,2217706,19.26,56.31,873,46187,131700,29.9,25.51,22.66,43.86,0.15,6.36,0.05,1.24,0.16,0,17460,34347,4.03,7.93,47.84
4835000,Houston,Texas,2012,2217706,19.26,56.31,873,46187,131700,29.9,25.51,22.66,43.86,0.15,6.36,0.05,1.24,0.16,0,16524,34657,3.73,7.83,45.15
4835000,Houston,Texas,2013,2217706,19.26,56.31,873,46187,131700,29.9,25.51,22.66,43.86,0.15,6.36,0.05,1.24,0.16,0,18024,36232,3.98,8,49.38
4835000,Houston,Texas,2014,2217706,19.26,56.31,873,46187,131700,29.9,25.51,22.66,43.86,0.15,6.36,0.05,1.24,0.16,0,18494,34803,4,7.52,50.67
4835000,Houston,Texas,2015,2217706,19.26,56.31,873,46187,131700,29.9,25.51,22.66,43.86,0.15,6.36,0.05,1.24,0.16,0,16072,31653,3.4,6.69,44.03
4835000,Houston,Texas,2016,2217706,19.26,56.31,873,46187,131700,29.9,25.51,22.66,43.86,0.15,6.36,0.05,1.24,0.16,1,11082,21196,2.3,4.39,30.28
4260000,Philadelphia,Pennsylvania,2000,1517550,22.89,40.75,569,30746,59700,28.4,42.46,42.58,8.5,0.19,4.42,0.03,1.63,0.19,0,,,,,
4260000,Philadelphia,Pennsylvania,2001,1517550,22.89,40.75,569,30746,59700,28.4,42.46,42.58,8.5,0.19,4.42,0.03,1.63,0.19,0,,,,,
