GEOID,name,parent-location,year,population,poverty-rate,pct-renter-occupied,median-gross-rent,median-household-income,median-property-value,rent-burden,pct-white,pct-af-am,pct-hispanic,pct-am-ind,pct-asian,pct-nh-pi,pct-multiple,pct-other,undefined,evictions,eviction-filings,eviction-rate,eviction-filing-rate,evictions-per-day
1245000,Miami,Florida,2000,362470,28.45,65.1,535,23483,120100,31.5,11.83,19.92,65.76,0.08,0.6,0.02,1.68,0.11,0,,,,,
1245000,Miami,Florida,2001,362470,28.45,65.1,535,23483,120100,31.5,11.83,19.92,65.76,0.08,0.6,0.02,1.68,0.11,1,2968,3342,3.33,3.75,8.13
1245000,Miami,Florida,2002,362470,28.45,65.1,535,23483,120100,31.5,11.83,19.92,65.76,0.08,0.6,0.02,1.68,0.11,1,3242,3530,3.56,3.87,8.88
1245000,Miami,Florida,2003,362470,28.45,65.1,535,23483,120100,31.5,11.83,19.92,65.76,0.08,0.6,0.02,1.68,0.11,1,3223,3462,3.46,3.72,8.83
1245000,Miami,Florida,2004,362470,28.45,65.1,535,23483,120100,31.5,11.83,19.92,65.76,0.08,0.6,0.02,1.68,0.11,1,1917,2093,2.02,2.2,5.24
1245000,Miami,Florida,2005,418480,21.7,63.39,838,29812,289800,38,11.57,18.76,68.21,0.01,0.79,0,0.36,0.3,1,2855,3079,2.94,3.17,7.82
1245000,Miami,Florida,2006,418480,21.7,63.39,838,29812,289800,38,11.57,18.76,68.21,0.01,0.79,0,0.36,0.3,1,2976,3172,3.01,3.2,8.15
1245000,Miami,Florida,2007,418480,21.7,63.39,838,29812,289800,38,11.57,18.76,68.21,0.01,0.79,0,0.36,0.3,1,1072,1916,1.06,1.9,2.94
1245000,Miami,Florida,2008,418480,21.7,63.39,838,29812,289800,38,11.57,18.76,68.21,0.01,0.79,0,0.36,0.3,1,1916,4031,1.86,3.92,5.23
1245000,Miami,Florida,2009,418480,21.7,63.39,838,29812,289800,38,11.57,18.76,68.21,0.01,0.79,0,0.36,0.3,1,2684,4282,2.56,4.08,7.35
1245000,Miami,Florida,2010,399457,24.59,67.67,925,29762,235800,39.8,11.92,16.27,69.96,0.09,0.91,0.01,0.66,0.17,1,3474,3752,3.25,3.51,9.52
1245000,Miami,Florida,2011,424632,23.66,69.03,971,31051,224600,39.5,11.39,16.4,70.68,0.07,0.84,0.01,0.5,0.11,1,3762,4037,3.41,3.66,10.31
1245000,Miami,Florida,2012,424632,23.66,69.03,971,31051,224600,39.5,11.39,16.4,70.68,0.07,0.84,0.01,0.5,0.11,1,3820,4163,3.37,3.67,10.44
