GEOID,name,parent-location,year,population,poverty-rate,pct-renter-occupied,median-gross-rent,median-household-income,median-property-value,rent-burden,pct-white,pct-af-am,pct-hispanic,pct-am-ind,pct-asian,pct-nh-pi,pct-multiple,pct-other,undefined,evictions,eviction-filings,eviction-rate,eviction-filing-rate,evictions-per-day
2743000,Minneapolis,Minnesota,2000,382618,16.92,48.63,575,37974,113500,25.7,62.49,17.76,7.63,2.01,6.09,0.07,3.69,0.27,0,,,,,
2743000,Minneapolis,Minnesota,2001,382618,16.92,48.63,575,37974,113500,25.7,62.49,17.76,7.63,2.01,6.09,0.07,3.69,0.27,0,2346,2482,2.96,3.13,6.43
2743000,Minneapolis,Minnesota,2002,382618,16.92,48.63,575,37974,113500,25.7,62.49,17.76,7.63,2.01,6.09,0.07,3.69,0.27,0,4069,4413,5.1,5.53,11.15
2743000,Minneapolis,Minnesota,2003,382618,16.92,48.63,575,37974,113500,25.7,62.49,17.76,7.63,2.01,6.09,0.07,3.69,0.27,0,3775,4294,4.71,5.35,10.34
2743000,Minneapolis,Minnesota,2004,382618,16.92,48.63,575,37974,113500,25.7,62.49,17.76,7.63,2.01,6.09,0.07,3.69,0.27,0,4117,4364,5.11,5.41,11.25
2743000,Minneapolis,Minnesota,2005,379499,15.13,47.98,761,45625,229700,31,64.24,16.79,9.48,1.47,5.09,0.02,2.62,0.29,0,1845,2680,2.27,3.3,5.05
2743000,Minneapolis,Minnesota,2006,379499,15.13,47.98,761,45625,229700,31,64.24,16.79,9.48,1.47,5.09,0.02,2.62,0.29,0,1514,4551,1.86,5.59,4.15
2743000,Minneapolis,Minnesota,2007,379499,15.13,47.98,761,45625,229700,31,64.24,16.79,9.48,1.47,5.09,0.02,2.62,0.29,0,2679,3820,3.27,4.67,7.34
2743000,Minneapolis,Minnesota,2008,379499,15.13,47.98,761,45625,229700,31,64.24,16.79,9.48,1.47,5.09,0.02,2.62,0.29,0,1385,4984,1.68,6.06,3.78
2743000,Minneapolis,Minnesota,2009,379499,15.13,47.98,761,45625,229700,31,64.24,16.79,9.48,1.47,5.09,0.02,2.62,0.29,0,1036,4336,1.25,5.24,2.84
2743000,Minneapolis,Minnesota,2010,382578,15.68,50.81,817,48881,216800,30.8,60.29,18.29,10.47,1.66,5.59,0.04,3.4,0.25,0,957,3845,1.15,4.63,2.62
2743000,Minneapolis,Minnesota,2011,399950,15.39,51.94,869,51480,205300,29.9,60.27,17.98,9.97,1.15,6,0.03,4.37,0.23,0,1309,3654,1.55,4.33,3.59
2743000,Minneapolis,Minnesota,2012,399950,15.39,51.94,869,51480,205300,29.9,60.27,17.98,9.97,1.15,6,0.03,4.37,0.23,0,1066,3604,1.24,4.2,2.91
2743000,Minneapolis,Minnesota,2013,399950,15.39,51.94,869,51480,205300,29.9,60.27,17.98,9.97,1.15,6,0.03,4.37,0.23,0,1269,3255,1.46,3.73,3.48
2743000,Minneapolis,Minnesota,2014,399950,15.39,51.94,869,51480,205300,29.9,60.27,17.98,9.97,1.15,6,0.03,4.37,0.23,1,1081,2420,1.22,2.74,2.96
2743000,Minneapolis,Minnesota,2015,399950,15.39,51.94,869,51480,205300,29.9,60.27,17.98,9.97,1.15,6,0.03,4.37,0.23,1,771,2683,0.86,2.99,2.11
2743000,Minneapolis,Minnesota,2016,399950,15.39,51.94,869,51480,205300,29.9,60.27,17.98,9.97,1.15,6,0.03,4.37,0.23,1,759,2883,0.83,3.17,2.07
