GEOID,name,parent-location,year,population,poverty-rate,pct-renter-occupied,median-gross-rent,median-household-income,median-property-value,rent-burden,pct-white,pct-af-am,pct-hispanic,pct-am-ind,pct-asian,pct-nh-pi,pct-multiple,pct-other,undefined,evictions,eviction-filings,eviction-rate,eviction-filing-rate,evictions-per-day
3451000,Newark,New Jersey,2000,273546,28.4,76.21,586,26913,119000,27.4,14.24,51.94,29.47,0.19,1.15,0.03,2.24,0.74,0,,,,,
3451000,Newark,New Jersey,2001,273546,28.4,76.21,586,26913,119000,27.4,14.24,51.94,29.47,0.19,1.15,0.03,2.24,0.74,0,3638,17367,5.19,24.79,9.97
3451000,Newark,New Jersey,2002,273546,28.4,76.21,586,26913,119000,27.4,14.24,51.94,29.47,0.19,1.15,0.03,2.24,0.74,0,3298,13185,4.68,18.72,9.04
3451000,Newark,New Jersey,2003,273546,28.4,76.21,586,26913,119000,27.4,14.24,51.94,29.47,0.19,1.15,0.03,2.24,0.74,0,3123,14074,4.41,19.87,8.56
3451000,Newark,New Jersey,2004,273546,28.4,76.21,586,26913,119000,27.4,14.24,51.94,29.47,0.19,1.15,0.03,2.24,0.74,0,796,14572,1.12,20.46,2.17
3451000,Newark,New Jersey,2005,277070,21.09,74.75,868,35507,289600,31.5,14.49,49.38,31.77,0.21,1.62,0.01,0.95,1.57,0,103,15088,0.14,21.05,0.28
3451000,Newark,New Jersey,2006,277070,21.09,74.75,868,35507,289600,31.5,14.49,49.38,31.77,0.21,1.62,0.01,0.95,1.57,0,1406,23740,1.95,32.96,3.85
3451000,Newark,New Jersey,2007,277070,21.09,74.75,868,35507,289600,31.5,14.49,49.38,31.77,0.21,1.62,0.01,0.95,1.57,0,4438,16442,6.13,22.69,12.16
3451000,Newark,New Jersey,2008,277070,21.09,74.75,868,35507,289600,31.5,14.49,49.38,31.77,0.21,1.62,0.01,0.95,1.57,0,4052,15441,5.56,21.2,11.07
3451000,Newark,New Jersey,2009,277070,21.09,74.75,868,35507,289600,31.5,14.49,49.38,31.77,0.21,1.62,0.01,0.95,1.57,0,4667,17806,6.37,24.31,12.79
3451000,Newark,New Jersey,2010,277140,25.27,77.88,954,34387,264400,33.6,11.59,49.82,33.83,0.26,1.56,0.02,1.52,1.41,0,496,18500,0.67,25.12,1.36
3451000,Newark,New Jersey,2011,279793,26.38,78.33,973,33139,223400,34.8,10.69,48.35,35.63,0.3,1.78,0.09,1.08,2.09,0,23,18418,0.03,24.83,0.06
3451000,Newark,New Jersey,2012,279793,26.38,78.33,973,33139,223400,34.8,10.69,48.35,35.63,0.3,1.78,0.09,1.08,2.09,0,19,17661,0.03,23.64,0.05
3451000,Newark,New Jersey,2013,279793,26.38,78.33,973,33139,223400,34.8,10.69,48.35,35.63,0.3,1.78,0.09,1.08,2.09,0,20,18118,0.03,24.06,0.05
3451000,Newark,New Jersey,2014,279793,26.38,78.33,973,33139,223400,34.8,10.69,48.35,35.63,0.3,1.78,0.09,1.08,2.09,0,125,18050,0.16,23.82,0.34
3451000,Newark,New Jersey,2015,279793,26.38,78.33,973,33139,223400,34.8,10.69,48.35,35.63,0.3,1.78,0.09,1.08,2.09,0,41,17798,0.05,23.32,0.11
3451000,Newark,New Jersey,2016,279793,26.38,78.33,973,33139,223400,34.8,10.69,48.35,35.63,0.3,1.78,0.09,1.08,2.09,0,35,17060,0.05,22.2,0.1
3479610,West New York,New Jersey,2000,45768,18.92,80.06,681,31980,218400,27.4,15.49,1.44,78.74,0.09,2.82,0.01,1.19,0.22,0,,,,,
3479610,West New York,New Jersey,2001,45768,18.92,80.06,681,31980,218400,27.4,15.49,1.44,78.74,0.09,2.82,0.01,1.19,0.22,0,174,908,1.29,6.71,0.48
3479610,West New York,New Jersey,2002,45768,18.92,80.06,681,31980,218400,27.4,15.49,1.44,78.74,0.09,2.82,0.01,1.19,0.22,0,185,973,1.35,7.11,0.51
3479610,West New York,New Jersey,2003,45768,18.92,80.06,681,31980,218400,27.4,15.49,1.44,78.74,0.09,2.82,0.01,1.19,0.22,0,244,1455,1.77,10.53,0.67
3479610,West New York,New Jersey,2004,45768,18.92,80.06,681,31980,218400,27.4,15.49,1.44,78.74,0.09,2.82,0.01,1.19,0.22,0,46,1246,0.33,8.92,0.13
3479610,West New York,New Jersey,2005,46058,15.4,76.8,979,42561,386700,31.3,14.18,1.65,79.05,0,4.19,0,0.46,0.47,0,1,1033,0.01,7.32,0
3479610,West New York,New Jersey,2006,46058,15.4,76.8,979,42561,386700,31.3,14.18,1.65,79.05,0,4.19,0,0.46,0.47,0,112,1650,0.79,11.58,0.31
3479610,West New York,New Jersey,2007,46058,15.4,76.8,979,42561,386700,31.3,14.18,1.65,79.05,0,4.19,0,0.46,0.47,0,151,986,1.05,6.85,0.41
3479610,West New York,New Jersey,2008,46058,15.4,76.8,979,42561,386700,31.3,14.18,1.65,79.05,0,4.19,0,0.46,0.47,0,197,1178,1.35,8.1,0.54
3479610,West New York,New Jersey,2009,46058,15.4,76.8,979,42561,386700,31.3,14.18,1.65,79.05,0,4.19,0,0.46,0.47,0,187,1141,1.27,7.77,0.51
3479610,West New York,New Jersey,2010,49708,15.7,78.68,1107,46349,346200,31,13.22,1.76,78.08,0.08,5.84,0.01,0.76,0.26,0,231,1297,1.56,8.74,0.63
3479610,West New York,New Jersey,2011,51860,18.6,80.49,1174,45370,317400,31.7,13.43,1.53,78.51,0.04,4.95,0.05,0.67,0.82,0,281,1328,1.87,8.83,0.77
3479610,West New York,New Jersey,2012,51860,18.6,80.49,1174,45370,317400,31.7,13.43,1.53,78.51,0.04,4.95,0.05,0.67,0.82,0,225,1344,1.48,8.82,0.61
3479610,West New York,New Jersey,2013,51860,18.6,80.49,1174,45370,317400,31.7,13.43,1.53,78.51,0.04,4.95,0.05,0.67,0.82,0,250,1384,1.62,8.96,0.68
3479610,West New York,New Jersey,2014,51860,18.6,80.49,1174,45370,317400,31.7,13.43,1.53,78.51,0.04,4.95,0.05,0.67,0.82,0,259,1356,1.66,8.67,0.71
3479610,West New York,New Jersey,2015,51860,18.6,80.49,1174,45370,317400,31.7,13.43,1.53,78.51,0.04,4.95,0.05,0.67,0.82,0,30,1330,0.19,8.39,0.08
3479610,West New York,New Jersey,2016,51860,18.6,80.49,1174,45370,317400,31.7,13.43,1.53,78.51,0.04,4.95,0.05,0.67,0.82,0,1,1212,0.01,7.55,0
0937000,Hartford,Connecticut,2000,121578,30.61,75.41,560,24820,93900,28.8,17.83,36.01,40.52,0.27,1.56,0.03,3.22,0.56,0,,,,,
0937000,Hartford,Connecticut,2001,121578,30.61,75.41,560,24820,93900,28.8,17.83,36.01,40.52,0.27,1.56,0.03,3.22,0.56,0,1834,2599,5.4,7.66,5.02
0937000,Hartford,Connecticut,2002,121578,30.61,75.41,560,24820,93900,28.8,17.83,36.01,40.52,0.27,1.56,0.03,3.22,0.56,0,2142,3072,6.31,9.04,5.87
0937000,Hartford,Connecticut,2003,121578,30.61,75.41,560,24820,93900,28.8,17.83,36.01,40.52,0.27,1.56,0.03,3.22,0.56,0,2096,2783,6.17,8.19,5.74
0937000,Hartford,Connecticut,2004,121578,30.61,75.41,560,24820,93900,28.8,17.83,36.01,40.52,0.27,1.56,0.03,3.22,0.56,0,1972,2710,5.8,7.97,5.39
0937000,Hartford,Connecticut,2005,123925,29.4,72.93,775,29190,185000,35.3,18.29,36.1,40.68,0.32,2.44,0,1.19,0.98,0,2011,2592,5.91,7.61,5.51
0937000,Hartford,Connecticut,2006,123925,29.4,72.93,775,29190,185000,35.3,18.29,36.1,40.68,0.32,2.44,0,1.19,0.98,0,2040,2753,5.99,8.08,5.59
0937000,Hartford,Connecticut,2007,123925,29.4,72.93,775,29190,185000,35.3,18.29,36.1,40.68,0.32,2.44,0,1.19,0.98,0,1909,2580,5.6,7.57,5.23
0937000,Hartford,Connecticut,2008,123925,29.4,72.93,775,29190,185000,35.3,18.29,36.1,40.68,0.32,2.44,0,1.19,0.98,0,1995,2672,5.85,7.84,5.45
0937000,Hartford,Connecticut,2009,123925,29.4,72.93,775,29190,185000,35.3,18.29,36.1,40.68,0.32,2.44,0,1.19,0.98,0,1712,2294,5.02,6.72,4.69
0937000,Hartford,Connecticut,2010,124775,30.96,75.65,855,28931,178300,36.4,15.84,35.44,43.43,0.25,2.68,0.02,1.66,0.68,0,1624,2214,4.76,6.49,4.45
0937000,Hartford,Connecticut,2011,124795,30.46,76.25,890,30630,161400,35.8,15.44,35.16,44.24,0.11,2.61,0.02,1.79,0.64,0,1759,2310,5.12,6.73,4.82
0937000,Hartford,Connecticut,2012,124795,30.46,76.25,890,30630,161400,35.8,15.44,35.16,44.24,0.11,2.61,0.02,1.79,0.64,0,1609,2188,4.66,6.34,4.4
0937000,Hartford,Connecticut,2013,124795,30.46,76.25,890,30630,161400,35.8,15.44,35.16,44.24,0.11,2.61,0.02,1.79,0.64,0,1632,2084,4.7,6,4.47
0937000,Hartford,Connecticut,2014,124795,30.46,76.25,890,30630,161400,35.8,15.44,35.16,44.24,0.11,2.61,0.02,1.79,0.64,0,1918,2421,5.49,6.93,5.25
0937000,Hartford,Connecticut,2015,124795,30.46,76.25,890,30630,161400,35.8,15.44,35.16,44.24,0.11,2.61,0.02,1.79,0.64,0,1882,2413,5.36,6.87,5.16
0937000,Hartford,Connecticut,2016,124795,30.46,76.25,890,30630,161400,35.8,15.44,35.16,44.24,0.11,2.61,0.02,1.79,0.64,0,2022,2622,5.73,7.42,5.52
