GEOID,name,parent-location,year,population,poverty-rate,pct-renter-occupied,median-gross-rent,median-household-income,median-property-value,rent-burden,pct-white,pct-af-am,pct-hispanic,pct-am-ind,pct-asian,pct-nh-pi,pct-multiple,pct-other,undefined,evictions,eviction-filings,eviction-rate,eviction-filing-rate,evictions-per-day
3137000,Omaha,Nebraska,2000,390007,11.32,40.38,537,40006,94200,23.7,75.35,13.19,7.54,0.57,1.71,0.05,1.47,0.11,0,2167,2473,3.42,3.9,5.92
3137000,Omaha,Nebraska,2001,390007,11.32,40.38,537,40006,94200,23.7,75.35,13.19,7.54,0.57,1.71,0.05,1.47,0.11,0,3062,4347,4.79,6.8,8.39
3137000,Omaha,Nebraska,2002,390007,11.32,40.38,537,40006,94200,23.7,75.35,13.19,7.54,0.57,1.71,0.05,1.47,0.11,0,3006,5531,4.67,8.6,8.24
3137000,Omaha,Nebraska,2003,390007,11.32,40.38,537,40006,94200,23.7,75.35,13.19,7.54,0.57,1.71,0.05,1.47,0.11,0,2848,4746,4.4,7.33,7.8
3137000,Omaha,Nebraska,2004,390007,11.32,40.38,537,40006,94200,23.7,75.35,13.19,7.54,0.57,1.71,0.05,1.47,0.11,0,2913,4466,4.47,6.85,7.96
3137000,Omaha,Nebraska,2005,443003,10.48,39.11,697,47184,131500,28.4,72.9,11.82,10.3,0.35,2.13,0.11,2.23,0.15,0,3028,4845,4.6,7.37,8.3
3137000,Omaha,Nebraska,2006,443003,10.48,39.11,697,47184,131500,28.4,72.9,11.82,10.3,0.35,2.13,0.11,2.23,0.15,0,2922,4628,4.42,7,8.01
3137000,Omaha,Nebraska,2007,443003,10.48,39.11,697,47184,131500,28.4,72.9,11.82,10.3,0.35,2.13,0.11,2.23,0.15,0,3112,5009,4.67,7.52,8.53
3137000,Omaha,Nebraska,2008,443003,10.48,39.11,697,47184,131500,28.4,72.9,11.82,10.3,0.35,2.13,0.11,2.23,0.15,0,3045,5169,4.55,7.71,8.32
3137000,Omaha,Nebraska,2009,443003,10.48,39.11,697,47184,131500,28.4,72.9,11.82,10.3,0.35,2.13,0.11,2.23,0.15,0,2851,4805,4.23,7.12,7.81
3137000,Omaha,Nebraska,2010,408958,11.71,41.7,757,46978,132900,29.6,68.02,13.48,13.09,0.55,2.42,0.06,2.17,0.2,0,2872,4861,4.23,7.16,7.87
3137000,Omaha,Nebraska,2011,440034,12.24,42.17,799,49896,137000,29.5,67.6,12.66,13.66,0.43,3.03,0.03,2.35,0.25,0,2762,4628,3.97,6.65,7.57
3137000,Omaha,Nebraska,2012,440034,12.24,42.17,799,49896,137000,29.5,67.6,12.66,13.66,0.43,3.03,0.03,2.35,0.25,0,2728,4613,3.82,6.46,7.45
3137000,Omaha,Nebraska,2013,440034,12.24,42.17,799,49896,137000,29.5,67.6,12.66,13.66,0.43,3.03,0.03,2.35,0.25,0,2747,4920,3.75,6.72,7.53
3137000,Omaha,Nebraska,2014,440034,12.24,42.17,799,49896,137000,29.5,67.6,12.66,13.66,0.43,3.03,0.03,2.35,0.25,0,2968,4366,3.97,5.84,8.13
3137000,Omaha,Nebraska,2015,440034,12.24,42.17,799,49896,137000,29.5,67.6,12.66,13.66,0.43,3.03,0.03,2.35,0.25,0,2940,3852,3.84,5.03,8.05
