GEOID,name,parent-location,year,population,poverty-rate,pct-renter-occupied,median-gross-rent,median-household-income,median-property-value,rent-burden,pct-white,pct-af-am,pct-hispanic,pct-am-ind,pct-asian,pct-nh-pi,pct-multiple,pct-other,undefined,evictions,eviction-filings,eviction-rate,eviction-filing-rate,evictions-per-day
2079000,Wichita,Kansas,2000,344284,11.21,38.38,505,39939,78900,23.4,71.72,11.25,9.62,1.02,3.93,0.05,2.25,0.15,0,,,,,
2079000,Wichita,Kansas,2001,344284,11.21,38.38,505,39939,78900,23.4,71.72,11.25,9.62,1.02,3.93,0.05,2.25,0.15,0,,,,,
2079000,Wichita,Kansas,2002,344284,11.21,38.38,505,39939,78900,23.4,71.72,11.25,9.62,1.02,3.93,0.05,2.25,0.15,0,2068,3208,3.77,5.85,5.67
2079000,Wichita,Kansas,2003,344284,11.21,38.38,505,39939,78900,23.4,71.72,11.25,9.62,1.02,3.93,0.05,2.25,0.15,0,2059,3477,3.72,6.28,5.64
2079000,Wichita,Kansas,2004,344284,11.21,38.38,505,39939,78900,23.4,71.72,11.25,9.62,1.02,3.93,0.05,2.25,0.15,0,2505,3978,4.49,7.13,6.84
2079000,Wichita,Kansas,2005,362030,11.51,36.78,618,44202,108100,28.6,68.83,10.77,12.12,0.65,4.41,0.07,3.02,0.13,0,2524,4194,4.48,7.44,6.92
2079000,Wichita,Kansas,2006,362030,11.51,36.78,618,44202,108100,28.6,68.83,10.77,12.12,0.65,4.41,0.07,3.02,0.13,0,2811,4420,4.95,7.78,7.7
2079000,Wichita,Kansas,2007,362030,11.51,36.78,618,44202,108100,28.6,68.83,10.77,12.12,0.65,4.41,0.07,3.02,0.13,0,2937,4442,5.12,7.75,8.05
2079000,Wichita,Kansas,2008,362030,11.51,36.78,618,44202,108100,28.6,68.83,10.77,12.12,0.65,4.41,0.07,3.02,0.13,0,2893,4271,5,7.38,7.9
2079000,Wichita,Kansas,2009,362030,11.51,36.78,618,44202,108100,28.6,68.83,10.77,12.12,0.65,4.41,0.07,3.02,0.13,0,3089,4552,5.29,7.8,8.46
2079000,Wichita,Kansas,2010,382368,12.34,38.65,675,46218,117000,28.9,64.53,11.16,15.26,0.9,4.78,0.08,3.17,0.12,0,2857,4110,4.85,6.98,7.83
2079000,Wichita,Kansas,2011,387147,12.9,40.05,716,45947,119700,28.7,63.47,11.21,16.05,0.72,4.99,0.04,3.42,0.1,0,3133,3885,5.25,6.51,8.58
2079000,Wichita,Kansas,2012,387147,12.9,40.05,716,45947,119700,28.7,63.47,11.21,16.05,0.72,4.99,0.04,3.42,0.1,0,3334,4322,5.51,7.15,9.11
2079000,Wichita,Kansas,2013,387147,12.9,40.05,716,45947,119700,28.7,63.47,11.21,16.05,0.72,4.99,0.04,3.42,0.1,0,3611,4351,5.89,7.09,9.89
2079000,Wichita,Kansas,2014,387147,12.9,40.05,716,45947,119700,28.7,63.47,11.21,16.05,0.72,4.99,0.04,3.42,0.1,0,3419,4133,5.51,6.66,9.37
2079000,Wichita,Kansas,2015,387147,12.9,40.05,716,45947,119700,28.7,63.47,11.21,16.05,0.72,4.99,0.04,3.42,0.1,0,1989,2688,3.16,4.27,5.45
2079000,Wichita,Kansas,2016,387147,12.9,40.05,716,45947,119700,28.7,63.47,11.21,16.05,0.72,4.99,0.04,3.42,0.1,0,2830,4198,4.44,6.59,7.73
3916000,Cleveland,Ohio,2000,478403,26.27,51.46,465,25928,72100,27.5,38.8,50.48,7.26,0.25,1.31,0.03,1.69,0.17,0,2111,2155,2.15,2.2,5.77
3916000,Cleveland,Ohio,2001,478403,26.27,51.46,465,25928,72100,27.5,38.8,50.48,7.26,0.25,1.31,0.03,1.69,0.17,0,3921,4887,4.01,5,10.74
3916000,Cleveland,Ohio,2002,478403,26.27,51.46,465,25928,72100,27.5,38.8,50.48,7.26,0.25,1.31,0.03,1.69,0.17,1,5702,7505,5.87,7.72,15.62
3916000,Cleveland,Ohio,2003,478403,26.27,51.46,465,25928,72100,27.5,38.8,50.48,7.26,0.25,1.31,0.03,1.69,0.17,1,5121,7105,5.29,7.34,14.03
3916000,Cleveland,Ohio,2004,478403,26.27,51.46,465,25928,72100,27.5,38.8,50.48,7.26,0.25,1.31,0.03,1.69,0.17,0,6454,11325,6.7,11.76,17.63
