GEOID,year,name,parent-location,population,poverty-rate,renter-occupied-households,pct-renter-occupied,median-gross-rent,median-household-income,median-property-value,rent-burden,pct-white,pct-af-am,pct-hispanic,pct-am-ind,pct-asian,pct-nh-pi,pct-multiple,pct-other,eviction-filings,evictions,eviction-rate,eviction-filing-rate,low-flag,imputed,subbed
1301696,2000,Alpharetta,Georgia,34854,5.16,,39.71,908,71207,226300,22.5,80.75,6.38,5.53,0.17,5.7,0.02,1.09,0.37,,,,,0,0,0
1301696,2001,Alpharetta,Georgia,34854,5.16,6135.07,39.71,908,71207,226300,22.5,80.75,6.38,5.53,0.17,5.7,0.02,1.09,0.37,727.27,2.89,0.05,11.85,0,0,0
1301696,2002,Alpharetta,Georgia,34854,5.16,6359.08,39.71,908,71207,226300,22.5,80.75,6.38,5.53,0.17,5.7,0.02,1.09,0.37,872.67,3.84,0.06,13.72,0,0,0
1301696,2003,Alpharetta,Georgia,34854,5.16,6589.04,39.71,908,71207,226300,22.5,80.75,6.38,5.53,0.17,5.7,0.02,1.09,0.37,1105.49,0,0,16.78,0,0,0
1301696,2004,Alpharetta,Georgia,34854,5.16,6811.26,39.71,908,71207,226300,22.5,80.75,6.38,5.53,0.17,5.7,0.02,1.09,0.37,979.24,1.46,0.02,14.38,0,0,0
1301696,2005,Alpharetta,Georgia,49996,2.78,7041.32,31.87,1035,95888,331700,21.5,72.9,6.82,7.34,0,11.07,0.3,1.3,0.27,1014.16,5.81,0.08,14.4,0,0,0
1301696,2006,Alpharetta,Georgia,49996,2.78,7267.07,31.87,1035,95888,331700,21.5,72.9,6.82,7.34,0,11.07,0.3,1.3,0.27,934.43,62.34,0.86,12.86,0,0,0
1301696,2007,Alpharetta,Georgia,49996,2.78,7489.29,31.87,1035,95888,331700,21.5,72.9,6.82,7.34,0,11.07,0.3,1.3,0.27,799.43,97.22,1.3,10.67,1,0,0
1301696,2008,Alpharetta,Georgia,49996,2.78,7715.25,31.87,1035,95888,331700,21.5,72.9,6.82,7.34,0,11.07,0.3,1.3,0.27,828.78,149.38,1.94,10.74,0,0,0
1301696,2009,Alpharetta,Georgia,49996,2.78,7941.88,31.87,1035,95888,331700,21.5,72.9,6.82,7.34,0,11.07,0.3,1.3,0.27,790.32,188.32,2.37,9.95,1,0,0
